,Player,Progressive Carries,Touches,Expected Assists,Progressive Passes,Passes,Interceptions,Possession-Winning-Tackles,Aerials Won,Pos,Non-Penalty Expected Goals,cluster,Component 1,Component 2
866,Antonio Sánchez,3.055555555555556,52.388888888888886,0.0166666666666666,2.7777777777777777,29.61111111111111,2.1666666666666665,1.5555555555555556,0.7777777777777778,Winger,0.07,1,-0.8441165496157034,-0.7709239920373404
867,Davinson Sánchez,5.69060773480663,71.27071823204419,0.0220994475138121,2.87292817679558,53.70165745856353,1.878453038674033,1.2154696132596683,3.0939226519337013,Defender,0.11,6,-1.523548595991113,-0.020506190697504104
868,Germán Sánchez,1.2156862745098038,50.90196078431372,0.0078431372549019,1.5294117647058822,30.7843137254902,1.411764705882353,0.6274509803921569,3.1372549019607843,Defender,0.05,5,0.1638928912764852,-2.206166401021834
869,Manuel Sánchez,3.745019920318725,57.091633466135455,0.0796812749003984,4.02390438247012,34.9800796812749,1.3147410358565736,1.593625498007968,0.7171314741035856,Defender,0.02,6,-0.6306577722754122,0.17271069524148858
870,Jadon Sancho,9.95260663507109,56.49289099526066,0.1990521327014218,3.4123222748815163,38.38862559241706,1.1374407582938388,0.6161137440758293,0.0947867298578199,Winger,0.16,4,1.0531434693609034,3.0990125343563113
871,Alex Sandro,5.959595959595959,65.95959595959596,0.0707070707070707,4.191919191919192,46.76767676767677,1.7676767676767675,0.8585858585858586,1.8686868686868687,Defender,0.03,6,-0.9602762845356185,0.5496537542060063
872,Leroy Sané,7.727272727272727,61.45454545454545,0.2727272727272727,4.2727272727272725,38.72727272727273,1.0909090909090908,0.9090909090909092,0.2727272727272727,Winger,0.45,4,2.004881504861966,3.234424113472617
873,Baptiste Santamaria,3.0,65.75,0.0285714285714285,3.2142857142857144,48.535714285714285,1.7142857142857142,0.7857142857142857,2.821428571428572,Wingback,0.06,1,-0.9756077354179622,-0.8863148801207061
874,Samir Santos,0.8602150537634408,46.02150537634408,0.0053763440860215,1.182795698924731,28.87096774193548,2.9032258064516125,1.021505376344086,2.956989247311828,Defender,0.02,5,-0.9178879670235307,-2.688679163886409
875,Josh Sargent,2.2285714285714286,37.25714285714286,0.04,1.1428571428571428,17.02857142857143,1.2,0.9714285714285714,2.4,Winger,0.16,0,1.3693691654366618,-1.7669859044621807
