Womens Rank,Country Name,Womens Points,Mens Rank,Mens Points,2021 Gender Inequality Index,%Diff,2021
76,Morocco,1315.41,23,1558.35,0.425,15.589565886995851,37344787.0
170,Mozambique,815.14,116,1165.41,0.537,30.05551694253525,32163045.0
48,Myanmar,1517.95,158,1011.91,0.498,-50.00839995651788,54806014.0
146,Namibia,1020.53,117,1164.13,0.445,12.335392095384549,2587344.0
102,Nepal,1196.73,176,950.45,0.452,-25.91193645115471,29674920.0
6,Netherlands,2002.99,8,1679.41,0.025,-19.26748084148599,17533405.0
22,New Zealand,1741.94,103,1198.96,0.088,-45.28758257156202,5122600.0
116,Nicaragua,1157.63,139,1079.18,0.424,-7.269408254415394,6702379.0
164,Niger,877.93,119,1155.23,0.611,24.00387801563325,25130810.0
46,Nigeria,1535.09,31,1504.7,0.68,-2.019671695354547,211400704.0
134,North Macedonia,1082.42,64,1375.2,0.134,21.289994182664337,2065092.0
13,Norway,1889.96,36,1488.57,0.016,-26.964805148565407,5408320.0
57,Panama,1425.65,61,1389.27,0.392,-2.618641444787558,4381583.0
49,Papua New Guinea,1512.43,161,997.6,0.725,-51.60685645549319,9119005.0
51,Paraguay,1510.53,50,1440.13,0.445,-4.888447570705413,7219641.0
74,Peru,1334.47,21,1562.24,0.38,14.579706063088896,33359416.0
53,Philippines,1479.91,134,1115.13,0.419,-32.711881125967366,111046910.0
32,Poland,1647.92,26,1546.18,0.109,-6.580087700009055,37781024.0
27,Portugal,1688.06,9,1678.65,0.067,-0.560569505257192,10299423.0
26,Republic of Ireland,1695.26,47,1442.48,0.074,-17.52398646774998,5028230.0
40,Romania,1574.3,54,1427.84,0.282,-10.257451815329452,19115146.0
24,Russia,1717.04,35,1493.42,0.203,-14.973684562949463,143446060.0
161,Rwanda,894.87,136,1095.04,0.388,18.279697545295143,13276517.0
99,Samoa,1212.01,191,894.26,0.418,-35.53217185158679,200144.0
84,Senegal,1258.35,18,1584.59,0.53,20.588290977476824,17196308.0
35,Serbia,1630.68,25,1549.53,0.131,-5.23707188631392,6844078.0
138,Sierra Leone,1073.89,113,1169.71,0.633,8.191774029460287,8141343.0
133,Singapore,1088.77,159,1004.75,0.04,-8.362279173923861,5453566.0
43,Slovakia,1541.41,51,1439.99,0.18,-7.043104466003242,5447247.0
45,Slovenia,1536.95,65,1372.48,0.071,-11.983416880391704,2107007.0
54,South Africa,1464.36,68,1350.55,0.405,-8.426937173744028,60041996.0
184,South Sudan,649.69,165,983.99,0.587,33.973922499212385,11381377.0
8,Spain,1983.13,6,1716.93,0.057,-15.50441776892477,47326687.0
153,Sri Lanka,968.0,207,825.25,0.383,-17.29778854892457,22156000.0
150,St. Lucia,982.0,173,965.66,0.381,-1.6921069527577028,184401.0
157,St. Vincent and the Grenadines,950.85,179,939.97,0.39,-1.157483749481366,111269.0
132,Suriname,1089.15,143,1072.24,0.427,-1.577072297246893,591798.0
3,Sweden,2050.18,20,1563.44,0.023,-31.132630609425355,10415811.0
21,Switzerland,1775.36,16,1621.43,0.018,-9.4934718119191,8697723.0
67,Turkiye,1374.84,42,1475.13,0.272,6.798722824429046,85042736.0
142,Tajikistan,1033.87,109,1179.1,0.285,12.317021457043513,9749625.0
155,Tanzania,965.82,131,1121.91,0.56,13.912880712356609,61498438.0
41,Thailand,1555.0,111,1170.69,0.333,-32.827648651649874,69950844.0
152,Timor-Leste,973.91,199,860.06,0.378,-13.237448550101158,1343875.0
121,Togo,1138.33,126,1130.22,0.58,-0.7175594132115782,8478242.0
94,Tonga,1221.48,197,861.81,0.631,-41.73425697079404,106759.0
75,Trinidad and Tobago,1318.11,101,1205.85,0.344,-9.30961562383381,1403374.0
78,Tunisia,1298.6,30,1507.86,0.259,13.877946228429696,11935764.0
137,Turkmenistan,1075.41,135,1100.47,0.177,2.277208828954896,6117933.0
159,Uganda,924.09,90,1264.56,0.53,26.923989371797298,47123533.0
34,Ukraine,1643.46,27,1542.79,0.2,-6.5251913740690615,43814581.0
104,United Arab Emirates,1181.72,69,1346.09,0.049,12.210922003729312,9991083.0
68,Uruguay,1374.14,13,1640.95,0.235,16.259483835583044,3485152.0
1,USA,2111.47,14,1635.01,0.179,-29.14110617060445,331893745.0
47,Uzbekistan,1523.83,77,1306.63,0.227,-16.62291543895363,34915100.0
52,Venezuela,1494.4,56,1405.17,0.492,-6.350121337631746,28704947.0
33,Vietnam,1643.66,97,1218.84,0.296,-34.85445177381774,98168829.0
80,Zambia,1280.19,87,1270.8,0.54,-0.738904627006618,18920657.0
128,Zimbabwe,1115.59,123,1138.56,0.532,2.017460652051717,15092171.0
